address,district,neighbourhood,property_type,price,listing_url
"372 Manhattan Drive, London South, ON",London South,South K,House,1599000,https://www.zolo.ca/london-south-real-estate/372-manhattan-drive
"3046 Heardcreek Trail, London North, ON",London North,North S,House,799000,https://www.zolo.ca/london-north-real-estate/3046-heardcreek-trail
"1418 Helena Montague Avenue, London South, ON",London South,South B,House,794900,https://www.zolo.ca/london-south-real-estate/1418-helena-montague-avenue
"876 Eagletrace Drive, London North, ON",London North,North S,House,1480000,https://www.zolo.ca/london-north-real-estate/876-eagletrace-drive
"937 Lennon Way, London North, ON",London North,North E,House,959900,https://www.zolo.ca/london-north-real-estate/937-lennon-way
"570 Pall Mall Street, London East, ON",London East,East F,House,488900,https://www.zolo.ca/london-east-real-estate/570-pall-mall-street
"606 Central Avenue, London East, ON",London East,East F,House,589900,https://www.zolo.ca/london-east-real-estate/606-central-avenue
"129 Giles Street, London East, ON",London East,East M,House,499999,https://www.zolo.ca/london-east-real-estate/129-giles-street
"14 Duncan Crescent, London East, ON",London East,East D,House,699900,https://www.zolo.ca/london-east-real-estate/14-duncan-crescent
"23 Barrett Crescent, London South, ON",London South,South Y,House,599100,https://www.zolo.ca/london-south-real-estate/23-barrett-crescent
"487 Jeffreybrook Close, London North, ON",London North,North B,House,849900,https://www.zolo.ca/london-north-real-estate/487-jeffreybrook-close
"4255 Liberty Crossing, London South, ON",London South,South V,House,699000,https://www.zolo.ca/london-south-real-estate/4255-liberty-crossing
"166 Ashland Avenue, London East, ON",London East,East M,House,447900,https://www.zolo.ca/london-east-real-estate/166-ashland-avenue
"52 Emery Street E, London South, ON",London South,South F,House,669900,https://www.zolo.ca/london-south-real-estate/52-emery-street-east
"83 Bracebridge Court, London North, ON",London North,North G,House,849900,https://www.zolo.ca/london-north-real-estate/83-bracebridge-court
"2169 Jack Nash Drive, London South, ON",London South,South A,House,829900,https://www.zolo.ca/london-south-real-estate/2169-jack-nash-drive
"1625 Valhalla Street, London North, ON",London North,North F,House,629900,https://www.zolo.ca/london-north-real-estate/1625-valhalla-street
"647 Piccadilly Street, London East, ON",London East,East G,House,519900,https://www.zolo.ca/london-east-real-estate/647-piccadilly-street
"2590 Tokala Trail, London North, ON",London North,North S,House,849000,https://www.zolo.ca/london-north-real-estate/2590-tokala-trail
"904 Dame Street, London East, ON",London East,East L,House,409900,https://www.zolo.ca/london-east-real-estate/904-dame-street
"289 Winnipeg Boulevard, London East, ON",London East,East H,House,449900,https://www.zolo.ca/london-east-real-estate/289-winnipeg-boulevard
"1127 Trafalgar Street, London East, ON",London East,East M,House,349900,https://www.zolo.ca/london-east-real-estate/1127-trafalgar-street
"56 Classic Crescent, London East, ON",London East,East P,House,625000,https://www.zolo.ca/london-east-real-estate/56-classic-crescent
"3601 Lynds Street, London South, ON",London South,South W,House,799777,https://www.zolo.ca/london-south-real-estate/3601-lynds-street
"27 Stirrup Court, London North, ON",London North,North J,House,849000,https://www.zolo.ca/london-north-real-estate/27-stirrup-court
"713 Thistlewood Drive, London North, ON",London North,North C,House,749900,https://www.zolo.ca/london-north-real-estate/713-thistlewood-drive
"619 Eden Avenue, London South, ON",London South,South R,House,599900,https://www.zolo.ca/london-south-real-estate/619-eden-avenue
"1129 South Wenige Drive, London North, ON",London North,North C,House,725000,https://www.zolo.ca/london-north-real-estate/1129-south-wenige-drive
"9-181 Skyline Avenue, London North, ON",London North,North B,House,879000,https://www.zolo.ca/london-north-real-estate/181-skyline-avenue/9
"398 Victoria Street, London East, ON",London East,East B,House,779900,https://www.zolo.ca/london-east-real-estate/398-victoria-street
"1-6990 Clayton Walk, London South, ON",London South,South V,House,899900,https://www.zolo.ca/london-south-real-estate/6990-clayton-walk/1
"3128 Turner Crescent, London South, ON",London South,South U,House,939999,https://www.zolo.ca/london-south-real-estate/3128-turner-crescent
"36 Grosvenor Street, London East, ON",London East,East B,House,2100000,https://www.zolo.ca/london-east-real-estate/36-grosvenor-street
"1620 Farmbrook Road, London East, ON",London East,East P,House,699000,https://www.zolo.ca/london-east-real-estate/1620-farmbrook-road
"198 Arlington Crescent, London South, ON",London South,South J,House,519900,https://www.zolo.ca/london-south-real-estate/198-arlington-crescent
"145 North Centre Road, London North, ON",London North,North B,Townhouse,519000,https://www.zolo.ca/london-north-real-estate/145-north-centre-road
"60 Tilipe Road, London East, ON",London East,East D,Townhouse,534900,https://www.zolo.ca/london-east-real-estate/60-tilipe-road
"12-210 Carlyle Drive, London East, ON",London East,East I,Townhouse,319900,https://www.zolo.ca/london-east-real-estate/210-carlyle-drive/12
"5-1443 Commissioners Road W, London South, ON",London South,South B,Townhouse,624900,https://www.zolo.ca/london-south-real-estate/1443-commissioners-road-west/5
"72-1850 Beaverbrook Avenue, London North, ON",London North,North M,Townhouse,549888,https://www.zolo.ca/london-north-real-estate/1850-beaverbrook-avenue/72
"414 Flanders Row, London East, ON",London East,East C,Townhouse,399900,https://www.zolo.ca/london-east-real-estate/414-flanders-row
"96-51 Sholto Drive, London South, ON",London South,South X,Townhouse,449900,https://www.zolo.ca/london-south-real-estate/51-sholto-drive/96
"48-126 Belmont Drive, London South, ON",London South,South O,Townhouse,399900,https://www.zolo.ca/london-south-real-estate/126-belmont-drive/48
"1301 Michael Circle, London East, ON",London East,East D,Townhouse,485000,https://www.zolo.ca/london-east-real-estate/1301-michael-circle
"12-1990 Wavell Street, London East, ON",London East,East I,Townhouse,419900,https://www.zolo.ca/london-east-real-estate/1990-wavell-street/12
"1975 Upperpoint Gate, London South, ON",London South,South B,Townhouse,724900,https://www.zolo.ca/london-south-real-estate/1975-upperpoint-gate
"25-475 Sandringham Crescent, London South, ON",London South,South R,Townhouse,349900,https://www.zolo.ca/london-south-real-estate/475-sandringham-crescent/25
"17-1337 Commissioners Road W, London South, ON",London South,South B,Townhouse,499900,https://www.zolo.ca/london-south-real-estate/1337-commissioners-road-west/17
"1766 Culver Drive, London East, ON",London East,East H,Townhouse,399000,https://www.zolo.ca/london-east-real-estate/1766-culver-drive
"2-669 Osgoode Drive, London South, ON",London South,South Y,Townhouse,399900,https://www.zolo.ca/london-south-real-estate/669-osgoode-drive/2
"104-1500 Richmond Street, London North, ON",London North,North G,Townhouse,512500,https://www.zolo.ca/london-north-real-estate/1500-richmond-street/104
"12 Daybreak Drive, London East, ON",London East,East I,Townhouse,799999,https://www.zolo.ca/london-east-real-estate/12-daybreak-drive
"22 Denlaw Road, London North, ON",London North,North I,Townhouse,479000,https://www.zolo.ca/london-north-real-estate/22-denlaw-road
"32-499 Sophia Crescent, London North, ON",London North,North I,Townhouse,515900,https://www.zolo.ca/london-north-real-estate/499-sophia-crescent/32
"49-110 Deveron Crescent, London South, ON",London South,South T,Townhouse,349900,https://www.zolo.ca/london-south-real-estate/110-deveron-crescent/49
"2-131 Bonaventure Drive, London East, ON",London East,East I,Townhouse,379900,https://www.zolo.ca/london-east-real-estate/131-bonaventure-drive/2
"20-760 Berkshire Drive, London South, ON",London South,South N,Townhouse,340000,https://www.zolo.ca/london-south-real-estate/760-berkshire-drive/20
"60-151 Martinet Avenue, London East, ON",London East,East I,Townhouse,329900,https://www.zolo.ca/london-east-real-estate/151-martinet-avenue/60
"30-3361 David Milne Way, London South, ON",London South,South W,Townhouse,498230,https://www.zolo.ca/london-south-real-estate/3361-david-milne-way/30
"26-195 Barker Street, London East, ON",London East,East C,Townhouse,459900,https://www.zolo.ca/london-east-real-estate/195-barker-street/26
